Doctor Name,Doctor Specialization,Hospital,Hospital Location,Contact Info,Doctor Experience (Years),Rating,Patient Count
Dr. Madhavi Goud,Neurologist,Hyderabad Super Speciality Hospital,Hyderabad,918286128610,18,4.2,394
Dr. Sirisha Varma,Neurologist,Tirupati Super Speciality Hospital,Tirupati,917242676804,18,4.9,1103
Dr. Prasad Babu,Neurologist,Secunderabad Trust Hospital,Secunderabad,919374517348,27,4.8,617
Dr. Sirisha Krishna,Neurologist,Hyderabad Trust Hospital,Hyderabad,916569902893,16,3.3,709
Dr. Tejaswi Raju,Neurologist,Vizianagaram Super Speciality Hospital,Vizianagaram,918102209245,10,4.2,600
Dr. Lakshmi Yadav,Neurologist,Guntur Care Hospital,Guntur,916324339920,6,3.8,1585
Dr. Sirisha Prakash,Orthopedic,Rajahmundry Trust Hospital,Rajahmundry,919768049371,24,3.9,1049
Dr. Madhavi Reddy,Orthopedic,Vizianagaram Memorial Hospital,Vizianagaram,919731930416,6,4.5,988
Dr. Ramesh Babu,Orthopedic,Visakhapatnam Medical Center,Visakhapatnam,918295335613,26,3.4,929
Dr. Anusha Varma,Orthopedic,Tirupati Apollo Hospital,Tirupati,917386695233,19,3.7,1233
Dr. Madhavi Krishna,Orthopedic,Vizianagaram Trust Hospital,Vizianagaram,918084510429,22,4.8,1611
Dr. Venkatesh Naidu,Orthopedic,Kurnool Institute of Medical Sciences,Kurnool,918689420564,30,3.0,1953
Dr. Sridevi Yadav,Orthopedic,Hyderabad Memorial Hospital,Hyderabad,916002903074,28,3.4,1460
Dr. Soujanya Varma,Orthopedic,Hyderabad Memorial Hospital,Hyderabad,916682802977,18,3.2,788
Dr. Ramesh Goud,Orthopedic,Ongole General Hospital,Ongole,918854043590,11,3.1,1331
Dr. Sirisha Babu,Orthopedic,Rajahmundry Trust Hospital,Rajahmundry,917005640129,28,4.3,1491
Dr. Srinivas Rao,Orthopedic,Visakhapatnam City Hospital,Visakhapatnam,918047869247,5,3.3,513
Dr. Tejaswi Yadav,Orthopedic,Anantapur General Hospital,Anantapur,916039887139,1,4.4,1723
Dr. Padma Kumar,Orthopedic,Secunderabad Care Hospital,Secunderabad,916567687951,31,3.1,834
Dr. Suresh Naidu,Orthopedic,Visakhapatnam Care Hospital,Visakhapatnam,917345834347,24,4.8,330
Dr. Prasad Acharya,Orthopedic,Vizianagaram Medical Center,Vizianagaram,918908281627,10,3.1,1203
Dr. Bhavani Acharya,Orthopedic,Kurnool Super Speciality Hospital,Kurnool,916704875220,29,3.7,486
Dr. Padma Sarma,Orthopedic,Visakhapatnam City Hospital,Visakhapatnam,918948779260,29,4.7,227
Dr. Prasad Babu,Orthopedic,Secunderabad General Hospital,Secunderabad,916528956230,25,3.7,929
Dr. Prasad Rao,Orthopedic,Vizianagaram Apollo Hospital,Vizianagaram,917189567020,6,3.5,1280
Dr. Bhavani Varma,Orthopedic,Hyderabad General Hospital,Hyderabad,919345649167,2,4.7,1398
Dr. Kiran Murthy,Orthopedic,Visakhapatnam Care Hospital,Visakhapatnam,918606731065,33,3.4,852
Dr. Soujanya Reddy,Orthopedic,Visakhapatnam Memorial Hospital,Visakhapatnam,919366402219,16,4.0,280
Dr. Anusha Acharya,Orthopedic,Anantapur Care Hospital,Anantapur,918550908958,5,4.1,74
Dr. Rajesh Chowdary,Orthopedic,Vijayawada Medical Center,Vijayawada,917661457617,27,3.7,1448
Dr. Anusha Babu,Orthopedic,Hyderabad Medical Center,Hyderabad,916313497572,2,4.2,78
Dr. Kiran Reddy,Orthopedic,Rajahmundry Care Hospital,Rajahmundry,919962447893,4,4.9,865
Dr. Anil Acharya,Orthopedic,Hyderabad Trust Hospital,Hyderabad,919060718580,33,4.5,917
Dr. Ramesh Acharya,Orthopedic,Visakhapatnam Super Speciality Hospital,Visakhapatnam,918304528350,35,4.2,618
Dr. Anil Naidu,Orthopedic,Tirupati General Hospital,Tirupati,918196036938,14,4.9,368
Dr. Rajesh Raju,Orthopedic,Hyderabad Trust Hospital,Hyderabad,918518728422,5,3.6,945
Dr. Venkatesh Rao,Orthopedic,Visakhapatnam Apollo Hospital,Visakhapatnam,916370281126,28,3.2,1303
Dr. Venkatesh Varma,Orthopedic,Vizianagaram Care Hospital,Vizianagaram,918860790008,12,3.2,1499
Dr. Sirisha Reddy,Orthopedic,Hyderabad Care Hospital,Hyderabad,916703655804,32,4.9,1121
Dr. Mahesh Chowdary,Orthopedic,Hyderabad Super Speciality Hospital,Hyderabad,917597167064,9,4.5,1838
Dr. Suresh Babu,Orthopedic,Kakinada Super Speciality Hospital,Kakinada,919865030023,2,3.7,929
Dr. Swathi Naidu,Orthopedic,Tirupati City Hospital,Tirupati,917129360134,5,4.0,1096
Dr. Venkatesh Yadav,Orthopedic,Tirupati City Hospital,Tirupati,919690922160,11,3.7,572
Dr. Madhavi Acharya,Orthopedic,Secunderabad Institute of Medical Sciences,Secunderabad,919104309491,8,3.5,1092
Dr. Venkatesh Krishna,Orthopedic,Hyderabad Apollo Hospital,Hyderabad,919706249669,1,3.5,1016
Dr. Lakshmi Prakash,Orthopedic,Ongole Super Speciality Hospital,Ongole,916644608746,12,4.9,1806
Dr. Deepika Babu,Orthopedic,Hyderabad Institute of Medical Sciences,Hyderabad,919925375344,27,3.4,558
Dr. Rajesh Varma,Orthopedic,Vizianagaram Trust Hospital,Vizianagaram,919547630097,5,4.1,294
Dr. Tejaswi Prakash,Orthopedic,Hyderabad Super Speciality Hospital,Hyderabad,916226225156,12,3.4,1106
Dr. Lakshmi Naidu,Orthopedic,Hyderabad Care Hospital,Hyderabad,919766648694,30,4.7,1634
Dr. Rajesh Naidu,Orthopedic,Rajahmundry Apollo Hospital,Rajahmundry,918375509447,30,3.0,460
Dr. Madhavi Babu,Orthopedic,Anantapur Apollo Hospital,Anantapur,917305280521,16,3.9,1261
Dr. Kiran Kumar,Orthopedic,Vijayawada General Hospital,Vijayawada,919867374499,35,4.5,552
Dr. Srinivas Prakash,Orthopedic,Tirupati Super Speciality Hospital,Tirupati,917761091683,2,3.5,759
Dr. Rajesh Reddy,Orthopedic,Hyderabad Medical Center,Hyderabad,919259575902,25,4.7,1539
Dr. Suresh Rao,Orthopedic,Rajahmundry Memorial Hospital,Rajahmundry,918275535874,16,3.8,172
Dr. Sirisha Varma,Orthopedic,Hyderabad Super Speciality Hospital,Hyderabad,916399546384,3,4.8,1887
Dr. Padma Kumar,Orthopedic,Kakinada Institute of Medical Sciences,Kakinada,919846477959,24,3.9,1581
Dr. Madhavi Naidu,Orthopedic,Kurnool Super Speciality Hospital,Kurnool,918170795726,9,4.3,857
Dr. Madhavi Sarma,Orthopedic,Secunderabad Medical Center,Secunderabad,916267502879,28,4.3,317
Dr. Anil Varma,Orthopedic,Hyderabad Apollo Hospital,Hyderabad,919654646530,21,4.9,854
Dr. Rajesh Yadav,Orthopedic,Vijayawada General Hospital,Vijayawada,917168041588,15,3.1,465
Dr. Madhavi Naidu,Orthopedic,Hyderabad Institute of Medical Sciences,Hyderabad,916667483244,7,3.3,1004
Dr. Padma Naidu,Orthopedic,Vijayawada Care Hospital,Vijayawada,918301778419,23,4.9,475
Dr. Anil Yadav,Orthopedic,Tirupati Care Hospital,Tirupati,917138200363,8,3.2,1703
Dr. Sirisha Kumar,Orthopedic,Rajahmundry General Hospital,Rajahmundry,918591164476,3,3.4,1804
Dr. Prasad Naidu,Orthopedic,Vizianagaram General Hospital,Vizianagaram,919054397788,16,4.9,861
Dr. Venkatesh Acharya,Orthopedic,Hyderabad Care Hospital,Hyderabad,917283511098,17,4.6,406
Dr. Lakshmi Krishna,Orthopedic,Hyderabad Memorial Hospital,Hyderabad,917942189222,16,3.2,258
Dr. Suresh Reddy,Orthopedic,Visakhapatnam Memorial Hospital,Visakhapatnam,916264867118,15,3.3,1736
Dr. Harish Acharya,Orthopedic,Guntur Super Speciality Hospital,Guntur,918707107352,6,4.2,580
Dr. Srinivas Naidu,Orthopedic,Secunderabad Trust Hospital,Secunderabad,916849331223,29,4.6,238
Dr. Suresh Reddy,Orthopedic,Vijayawada General Hospital,Vijayawada,917979958124,4,3.3,1225
Dr. Lakshmi Yadav,Orthopedic,Vizianagaram Global Hospital,Vizianagaram,916126625486,25,4.4,403
Dr. Kiran Prakash,Orthopedic,Vijayawada Medical Center,Vijayawada,916803807914,18,3.6,1859
Dr. Venkatesh Sarma,Orthopedic,Visakhapatnam Institute of Medical Sciences,Visakhapatnam,918659343022,16,4.3,1071
Dr. Deepika Yadav,Orthopedic,Anantapur Global Hospital,Anantapur,916261903104,6,3.6,331
Dr. Kiran Acharya,Orthopedic,Guntur General Hospital,Guntur,919799553602,34,3.5,1692
Dr. Srinivas Raju,Orthopedic,Hyderabad General Hospital,Hyderabad,919358302654,23,4.0,1650
Dr. Harish Prakash,Orthopedic,Vijayawada Apollo Hospital,Vijayawada,918429453032,33,3.6,603
Dr. Srinivas Goud,Orthopedic,Hyderabad General Hospital,Hyderabad,918564595211,15,3.1,1710
Dr. Venkatesh Babu,Orthopedic,Visakhapatnam Super Speciality Hospital,Visakhapatnam,918025869016,34,3.7,1246
Dr. Naresh Naidu,Orthopedic,Kakinada General Hospital,Kakinada,917064537936,16,3.5,1721
Dr. Ravi Sarma,Orthopedic,Anantapur Super Speciality Hospital,Anantapur,919635711661,25,3.7,1768
Dr. Naresh Rao,Orthopedic,Kakinada General Hospital,Kakinada,918544851934,21,4.6,1478
Dr. Madhavi Reddy,Orthopedic,Vijayawada City Hospital,Vijayawada,919021307114,23,4.9,1204
Dr. Madhavi Rao,Orthopedic,Hyderabad City Hospital,Hyderabad,919593585539,32,4.1,409
Dr. Venkatesh Naidu,Orthopedic,Vijayawada Medical Center,Vijayawada,916241239647,15,4.2,90
Dr. Anusha Reddy,Orthopedic,Visakhapatnam Medical Center,Visakhapatnam,917424786638,13,4.6,747
Dr. Rajesh Reddy,Orthopedic,Ongole Super Speciality Hospital,Ongole,916094115188,10,4.2,1928
Dr. Suresh Krishna,Orthopedic,Hyderabad General Hospital,Hyderabad,918260419271,24,4.9,815
Dr. Madhavi Naidu,Orthopedic,Guntur Global Hospital,Guntur,917445518797,20,3.6,372
Dr. Soujanya Yadav,Orthopedic,Guntur Medical Center,Guntur,918788208029,21,3.3,1200
Dr. Harish Rao,Orthopedic,Hyderabad City Hospital,Hyderabad,918858436754,12,3.8,1553
Dr. Prasad Chowdary,Orthopedic,Rajahmundry Super Speciality Hospital,Rajahmundry,919130305126,1,4.9,1992
Dr. Lakshmi Krishna,Orthopedic,Hyderabad Care Hospital,Hyderabad,919310691309,3,3.4,701
Dr. Ravi Acharya,Orthopedic,Hyderabad Medical Center,Hyderabad,918429019820,7,4.9,338
Dr. Ramesh Rao,Orthopedic,Ongole Memorial Hospital,Ongole,917489538120,21,3.3,1863
Dr. Sirisha Acharya,Orthopedic,Secunderabad General Hospital,Secunderabad,918744925141,22,3.9,593
Dr. Ravi Kumar,Orthopedic,Kakinada Medical Center,Kakinada,916291176364,23,3.5,271
Dr. Venkatesh Raju,Orthopedic,Hyderabad Institute of Medical Sciences,Hyderabad,917882141157,27,4.9,1861
Dr. Anusha Prakash,Orthopedic,Kurnool Memorial Hospital,Kurnool,917626558140,23,4.1,257
Dr. Madhavi Acharya,Orthopedic,Vijayawada General Hospital,Vijayawada,919256631219,15,3.3,200
Dr. Anil Reddy,Orthopedic,Vizianagaram City Hospital,Vizianagaram,917368878709,17,4.9,201
Dr. Naresh Prakash,Orthopedic,Visakhapatnam Trust Hospital,Visakhapatnam,917612579345,11,4.5,1170
Dr. Rajesh Sarma,Orthopedic,Secunderabad Super Speciality Hospital,Secunderabad,918635584024,31,4.4,933
Dr. Bhavani Prakash,Orthopedic,Kakinada Institute of Medical Sciences,Kakinada,917864876473,11,3.1,728
Dr. Kiran Raju,Orthopedic,Hyderabad Care Hospital,Hyderabad,918994437044,35,3.5,626
Dr. Ravi Naidu,Orthopedic,Rajahmundry Apollo Hospital,Rajahmundry,916213182609,26,4.1,1770
Dr. Prasad Reddy,Orthopedic,Vijayawada Apollo Hospital,Vijayawada,917549748436,1,3.9,653
Dr. Anusha Rao,Orthopedic,Visakhapatnam Global Hospital,Visakhapatnam,916416555576,2,3.4,1357
Dr. Ramesh Yadav,Orthopedic,Rajahmundry Trust Hospital,Rajahmundry,919623960580,8,3.6,864
Dr. Anusha Prakash,Orthopedic,Vijayawada Care Hospital,Vijayawada,918839145425,17,3.2,1164
Dr. Naresh Goud,Orthopedic,Ongole General Hospital,Ongole,919803162153,25,3.7,962
Dr. Mahesh Yadav,Orthopedic,Hyderabad Care Hospital,Hyderabad,917997408731,17,3.5,600
Dr. Venkatesh Chowdary,Orthopedic,Hyderabad Institute of Medical Sciences,Hyderabad,919230825332,7,3.2,754
Dr. Padma Babu,Orthopedic,Hyderabad Institute of Medical Sciences,Hyderabad,918532855799,15,4.1,1771
Dr. Swathi Raju,Orthopedic,Guntur Memorial Hospital,Guntur,918300016872,31,4.1,532
Dr. Anil Naidu,Orthopedic,Vijayawada Institute of Medical Sciences,Vijayawada,917695671834,3,4.0,1894
Dr. Madhavi Acharya,Orthopedic,Kakinada Super Speciality Hospital,Kakinada,918664052763,10,3.2,1600
Dr. Naresh Chowdary,Orthopedic,Vijayawada Trust Hospital,Vijayawada,916910061300,13,3.3,917
Dr. Tejaswi Raju,Orthopedic,Secunderabad Apollo Hospital,Secunderabad,916867236691,10,4.7,578
Dr. Ramesh Naidu,Orthopedic,Vijayawada Memorial Hospital,Vijayawada,917666873181,26,4.1,1804
Dr. Swathi Yadav,Orthopedic,Vizianagaram Global Hospital,Vizianagaram,919939180397,1,4.6,1326
Dr. Swathi Babu,Orthopedic,Visakhapatnam Medical Center,Visakhapatnam,917802141793,8,3.8,353
Dr. Madhavi Sarma,Orthopedic,Hyderabad Care Hospital,Hyderabad,919257206064,7,4.8,1202
Dr. Anil Krishna,Orthopedic,Secunderabad City Hospital,Secunderabad,918300528259,23,4.8,590
Dr. Soujanya Yadav,Orthopedic,Kakinada Memorial Hospital,Kakinada,918456821088,31,3.1,614
Dr. Prasad Sarma,Orthopedic,Guntur Medical Center,Guntur,918614154439,26,3.1,1871
Dr. Sirisha Rao,Orthopedic,Kurnool Memorial Hospital,Kurnool,916211703120,31,4.8,1887
Dr. Srinivas Goud,Orthopedic,Vijayawada Institute of Medical Sciences,Vijayawada,919510645808,20,3.6,1776
Dr. Sirisha Acharya,Orthopedic,Vijayawada General Hospital,Vijayawada,916421840452,15,3.3,1573
Dr. Rajesh Varma,Orthopedic,Visakhapatnam Global Hospital,Visakhapatnam,919130169646,27,4.2,232
Dr. Sridevi Rao,Orthopedic,Hyderabad General Hospital,Hyderabad,919923164030,27,4.5,1605
Dr. Harish Krishna,Orthopedic,Anantapur Medical Center,Anantapur,916241402174,33,4.6,184
Dr. Sirisha Murthy,Orthopedic,Rajahmundry Medical Center,Rajahmundry,917732526008,9,4.6,1123
Dr. Srinivas Chowdary,Orthopedic,Anantapur Trust Hospital,Anantapur,916827912699,13,4.7,560
Dr. Sridevi Reddy,Orthopedic,Hyderabad Institute of Medical Sciences,Hyderabad,919942913436,24,4.4,611
Dr. Sridevi Murthy,Orthopedic,Tirupati Super Speciality Hospital,Tirupati,917704854104,8,4.4,545
Dr. Anusha Sarma,Orthopedic,Vizianagaram Medical Center,Vizianagaram,917915999663,12,4.9,1021
Dr. Deepika Goud,Orthopedic,Hyderabad Trust Hospital,Hyderabad,917478538226,11,4.7,579
Dr. Anil Reddy,Orthopedic,Secunderabad City Hospital,Secunderabad,917660286914,4,3.3,1221
Dr. Ravi Acharya,Orthopedic,Hyderabad Medical Center,Hyderabad,916966848837,14,3.5,888
Dr. Srinivas Krishna,Orthopedic,Tirupati Memorial Hospital,Tirupati,919351378715,1,3.9,320
Dr. Bhavani Babu,Orthopedic,Hyderabad Super Speciality Hospital,Hyderabad,916036351450,15,3.5,1698
Dr. Sirisha Kumar,Orthopedic,Kakinada Institute of Medical Sciences,Kakinada,918760548616,18,3.8,821
Dr. Sridevi Varma,Orthopedic,Kurnool Medical Center,Kurnool,916937200760,30,3.6,1116
Dr. Lakshmi Sarma,Orthopedic,Visakhapatnam Medical Center,Visakhapatnam,916439427140,1,4.0,1406
Dr. Deepika Acharya,Orthopedic,Tirupati General Hospital,Tirupati,918550233647,19,3.6,271
Dr. Ramesh Goud,Orthopedic,Anantapur Trust Hospital,Anantapur,917187486518,21,4.7,584
Dr. Kiran Chowdary,Orthopedic,Vizianagaram Global Hospital,Vizianagaram,918221759035,16,4.8,1699
Dr. Lakshmi Acharya,Orthopedic,Anantapur Trust Hospital,Anantapur,917372610291,9,4.4,1392
Dr. Anil Varma,Orthopedic,Visakhapatnam Trust Hospital,Visakhapatnam,919895155510,27,3.8,1558
Dr. Madhavi Kumar,Orthopedic,Tirupati Apollo Hospital,Tirupati,918456903534,13,3.7,1510
Dr. Tejaswi Murthy,Orthopedic,Tirupati Memorial Hospital,Tirupati,918741535989,31,4.8,1425
Dr. Swathi Varma,Orthopedic,Ongole Memorial Hospital,Ongole,919631048029,11,4.7,1845
Dr. Naresh Varma,Orthopedic,Hyderabad City Hospital,Hyderabad,916419201975,31,3.3,579
Dr. Naresh Acharya,Orthopedic,Hyderabad Medical Center,Hyderabad,919863714615,22,4.3,505
Dr. Ravi Kumar,Orthopedic,Vijayawada General Hospital,Vijayawada,919742772931,20,3.8,1866
Dr. Harish Varma,Orthopedic,Vijayawada Global Hospital,Vijayawada,918515006996,19,3.9,291
Dr. Venkatesh Krishna,Orthopedic,Vijayawada Institute of Medical Sciences,Vijayawada,918724713263,5,3.9,448
Dr. Suresh Krishna,Orthopedic,Hyderabad City Hospital,Hyderabad,918923574632,25,4.1,896
Dr. Prasad Chowdary,Orthopedic,Kurnool Super Speciality Hospital,Kurnool,916860267314,22,3.8,1216
Dr. Prasad Goud,Orthopedic,Vijayawada Memorial Hospital,Vijayawada,919703953781,12,4.6,1048
Dr. Soujanya Chowdary,Orthopedic,Vijayawada Trust Hospital,Vijayawada,917346103176,4,3.0,610
Dr. Naresh Sarma,Orthopedic,Hyderabad Super Speciality Hospital,Hyderabad,919283432667,11,4.0,1613
Dr. Prasad Sarma,Orthopedic,Anantapur Memorial Hospital,Anantapur,917862776335,28,3.8,1027
Dr. Srinivas Reddy,Orthopedic,Ongole Care Hospital,Ongole,918292578829,13,4.5,1995
Dr. Rajesh Babu,Orthopedic,Hyderabad Trust Hospital,Hyderabad,919578689864,34,3.4,1435
Dr. Soujanya Kumar,Orthopedic,Ongole Apollo Hospital,Ongole,917068687175,15,4.4,755
Dr. Prasad Naidu,Orthopedic,Rajahmundry Medical Center,Rajahmundry,917647336743,33,4.2,392
Dr. Venkatesh Varma,Orthopedic,Secunderabad Apollo Hospital,Secunderabad,917249095871,30,4.5,1271
Dr. Rajesh Raju,Orthopedic,Hyderabad General Hospital,Hyderabad,919813819460,9,3.7,1896
Dr. Harish Babu,Orthopedic,Visakhapatnam Global Hospital,Visakhapatnam,916809283659,11,4.9,1930
Dr. Srinivas Rao,Orthopedic,Guntur General Hospital,Guntur,916963452923,9,3.4,94
Dr. Swathi Chowdary,Orthopedic,Hyderabad City Hospital,Hyderabad,916528976690,24,4.4,1672
Dr. Lakshmi Prakash,Orthopedic,Hyderabad City Hospital,Hyderabad,918750158124,17,4.5,1326
Dr. Bhavani Reddy,Orthopedic,Tirupati Global Hospital,Tirupati,918843139149,7,4.3,90
Dr. Sirisha Naidu,Orthopedic,Hyderabad City Hospital,Hyderabad,917790037430,29,3.8,1170
Dr. Anusha Kumar,Orthopedic,Rajahmundry Memorial Hospital,Rajahmundry,916657675888,14,4.4,1340
Dr. Anil Raju,Orthopedic,Hyderabad City Hospital,Hyderabad,918841827734,7,4.3,602
Dr. Bhavani Kumar,Orthopedic,Hyderabad Care Hospital,Hyderabad,916589112843,27,4.7,264
Dr. Bhavani Naidu,Orthopedic,Visakhapatnam Institute of Medical Sciences,Visakhapatnam,917214216328,8,4.6,1069
Dr. Bhavani Rao,Orthopedic,Tirupati Care Hospital,Tirupati,919341308097,17,4.7,463
Dr. Sirisha Raju,Orthopedic,Ongole Apollo Hospital,Ongole,917268523764,11,3.1,1066
Dr. Sirisha Prakash,Orthopedic,Hyderabad Memorial Hospital,Hyderabad,918064435929,22,3.5,76
Dr. Suresh Krishna,Orthopedic,Secunderabad Global Hospital,Secunderabad,918465967350,32,3.3,234
Dr. Ramesh Kumar,Orthopedic,Hyderabad Memorial Hospital,Hyderabad,919107736331,7,4.8,1369
Dr. Sridevi Varma,Orthopedic,Hyderabad Care Hospital,Hyderabad,917134408349,30,3.1,1715
Dr. Venkatesh Krishna,Orthopedic,Anantapur Global Hospital,Anantapur,917247976542,24,4.6,690
Dr. Suresh Naidu,Orthopedic,Tirupati Trust Hospital,Tirupati,919656073292,3,3.0,333
Dr. Rajesh Goud,Orthopedic,Hyderabad Trust Hospital,Hyderabad,919841966874,29,4.9,599
Dr. Harish Krishna,Orthopedic,Visakhapatnam Medical Center,Visakhapatnam,917471982906,12,3.2,869
Dr. Mahesh Krishna,Orthopedic,Vijayawada Care Hospital,Vijayawada,917656635401,31,4.6,1378
Dr. Suresh Chowdary,Orthopedic,Hyderabad Apollo Hospital,Hyderabad,918990026838,4,5.0,1779
Dr. Suresh Raju,Orthopedic,Hyderabad Global Hospital,Hyderabad,919913689120,31,4.6,1439
Dr. Naresh Sarma,Orthopedic,Vijayawada Memorial Hospital,Vijayawada,917631017155,23,4.2,1816
Dr. Anusha Prakash,Orthopedic,Kurnool Apollo Hospital,Kurnool,918096471391,8,4.8,952
Dr. Ramesh Varma,Orthopedic,Hyderabad Medical Center,Hyderabad,918813090060,21,3.0,1828
Dr. Madhavi Kumar,Orthopedic,Hyderabad Institute of Medical Sciences,Hyderabad,918426709025,15,5.0,1421
Dr. Swathi Murthy,Orthopedic,Vijayawada Global Hospital,Vijayawada,918955975343,7,3.9,1538
Dr. Anusha Goud,Orthopedic,Hyderabad Super Speciality Hospital,Hyderabad,918850615512,25,3.3,1742
Dr. Bhavani Reddy,Orthopedic,Hyderabad Institute of Medical Sciences,Hyderabad,916050014313,11,4.0,1011
Dr. Naresh Naidu,Orthopedic,Vijayawada Memorial Hospital,Vijayawada,919227367284,32,3.6,727
Dr. Venkatesh Murthy,Orthopedic,Rajahmundry City Hospital,Rajahmundry,916956517221,25,3.8,531
Dr. Sridevi Yadav,Orthopedic,Tirupati General Hospital,Tirupati,919441391011,29,3.2,1070
Dr. Rajesh Naidu,Orthopedic,Tirupati Memorial Hospital,Tirupati,918136202250,2,3.2,894
Dr. Deepika Murthy,Orthopedic,Hyderabad Medical Center,Hyderabad,916000728926,6,4.6,1317
Dr. Swathi Murthy,Orthopedic,Rajahmundry General Hospital,Rajahmundry,916888419332,30,4.9,794
Dr. Ravi Krishna,Orthopedic,Hyderabad General Hospital,Hyderabad,917951890759,22,4.1,1319
Dr. Anusha Kumar,Orthopedic,Ongole Care Hospital,Ongole,918822511659,24,4.4,283
Dr. Tejaswi Rao,Orthopedic,Secunderabad Trust Hospital,Secunderabad,916009435833,22,3.7,1347
Dr. Deepika Murthy,Orthopedic,Rajahmundry Trust Hospital,Rajahmundry,917605846862,7,3.1,386
Dr. Prasad Krishna,Orthopedic,Vijayawada Institute of Medical Sciences,Vijayawada,919078873557,27,3.2,1301
Dr. Kiran Naidu,Orthopedic,Hyderabad Institute of Medical Sciences,Hyderabad,919995248395,26,3.4,1738
Dr. Sirisha Goud,Orthopedic,Hyderabad Trust Hospital,Hyderabad,916462850341,27,3.1,1346
Dr. Suresh Babu,Orthopedic,Hyderabad City Hospital,Hyderabad,919830055793,29,3.9,1256
Dr. Prasad Yadav,Orthopedic,Hyderabad Global Hospital,Hyderabad,916018629956,34,4.5,1183
Dr. Madhavi Yadav,Orthopedic,Guntur Global Hospital,Guntur,919970142676,33,4.6,1914
Dr. Sirisha Sarma,Orthopedic,Hyderabad General Hospital,Hyderabad,916745822208,9,3.2,1396
Dr. Bhavani Prakash,Orthopedic,Hyderabad Trust Hospital,Hyderabad,917382308441,33,4.8,907
Dr. Sirisha Babu,Orthopedic,Hyderabad Memorial Hospital,Hyderabad,917066177492,18,3.8,752
Dr. Sridevi Babu,Orthopedic,Rajahmundry General Hospital,Rajahmundry,916572827654,9,3.8,1483
Dr. Anil Krishna,Orthopedic,Hyderabad General Hospital,Hyderabad,919012895123,21,4.4,1965
Dr. Soujanya Rao,Orthopedic,Tirupati Care Hospital,Tirupati,916862812038,14,4.2,645
Dr. Tejaswi Chowdary,Orthopedic,Vijayawada City Hospital,Vijayawada,919051129498,12,4.0,1471
Dr. Sirisha Naidu,Orthopedic,Vizianagaram Institute of Medical Sciences,Vizianagaram,919267503871,23,4.1,1243
Dr. Tejaswi Kumar,Orthopedic,Vizianagaram Institute of Medical Sciences,Vizianagaram,917793054056,35,3.6,1785
Dr. Srinivas Murthy,Orthopedic,Guntur Trust Hospital,Guntur,916457287198,2,3.8,158
Dr. Kiran Varma,Orthopedic,Hyderabad Apollo Hospital,Hyderabad,919222020108,11,5.0,1449
Dr. Prasad Krishna,Orthopedic,Rajahmundry Global Hospital,Rajahmundry,916266428954,19,3.4,1158
Dr. Harish Krishna,Orthopedic,Hyderabad Care Hospital,Hyderabad,917943878598,7,4.2,1433
Dr. Ravi Kumar,Orthopedic,Hyderabad Medical Center,Hyderabad,918779356860,25,3.5,1656
Dr. Sirisha Acharya,Orthopedic,Rajahmundry Memorial Hospital,Rajahmundry,916201777040,25,3.8,1664
Dr. Deepika Reddy,Orthopedic,Vijayawada Super Speciality Hospital,Vijayawada,916055685277,17,3.4,1829
Dr. Ravi Prakash,Orthopedic,Vizianagaram Institute of Medical Sciences,Vizianagaram,918722100861,24,4.5,1169
Dr. Kiran Babu,Orthopedic,Hyderabad Memorial Hospital,Hyderabad,919113484131,13,3.6,413
Dr. Naresh Chowdary,Orthopedic,Anantapur Memorial Hospital,Anantapur,919157142361,33,3.2,133
Dr. Mahesh Murthy,Orthopedic,Guntur Trust Hospital,Guntur,917134900434,9,3.3,1782
Dr. Srinivas Goud,Orthopedic,Rajahmundry Super Speciality Hospital,Rajahmundry,918002877824,10,3.1,1951
Dr. Bhavani Reddy,Orthopedic,Vijayawada Apollo Hospital,Vijayawada,919322848469,20,4.0,1222
Dr. Harish Naidu,Orthopedic,Hyderabad City Hospital,Hyderabad,919367389408,21,4.1,426
Dr. Ramesh Babu,Orthopedic,Vizianagaram Global Hospital,Vizianagaram,918169561289,11,3.8,1149
Dr. Ramesh Goud,Orthopedic,Tirupati Memorial Hospital,Tirupati,916950038526,14,4.3,728
Dr. Anil Rao,Orthopedic,Vijayawada Global Hospital,Vijayawada,919232631578,34,3.9,1199
Dr. Suresh Acharya,Orthopedic,Hyderabad Institute of Medical Sciences,Hyderabad,917486090002,29,3.5,1365
Dr. Bhavani Rao,Orthopedic,Hyderabad Care Hospital,Hyderabad,916171271484,21,3.8,1680
Dr. Lakshmi Varma,Orthopedic,Secunderabad General Hospital,Secunderabad,918320301599,19,3.0,1108
Dr. Swathi Babu,Orthopedic,Vijayawada Care Hospital,Vijayawada,918185002745,29,4.0,657
Dr. Rajesh Murthy,Orthopedic,Hyderabad Global Hospital,Hyderabad,916353670997,7,3.3,1633
Dr. Deepika Reddy,Orthopedic,Hyderabad Institute of Medical Sciences,Hyderabad,918692657073,5,3.4,1339
Dr. Tejaswi Raju,Orthopedic,Vizianagaram City Hospital,Vizianagaram,919589154183,7,3.4,1747
Dr. Soujanya Krishna,Orthopedic,Kurnool Apollo Hospital,Kurnool,916309755155,10,3.0,1518
Dr. Venkatesh Naidu,Orthopedic,Kurnool Super Speciality Hospital,Kurnool,916314597900,4,3.4,565
